SAMPLE_ID	SEX	LENGTH	WEIGHT	SEASON_PUT_IN_ROOM	TANK	SPAWNING_EVENT
ADULT_9436	F	978	15.2	2012	4-3	YOY-1
ADULT_4114	F	800	5.9	2017	4-3	YOY-1
ADULT_4147	F	762	4.9	2013	4-3	YOY-1
ADULT_4098	M	876	6.3	2014	4-3	YOY-1
ADULT_5341	M	914	0.0	2012	4-3	YOY-1
ADULT_777	F	914	11.6	2011	4-4	YOY-1
ADULT_4099	M	914	8.1	2015	4-4	YOY-1
ADULT_5123	F	889	8.1	2013	4-4	YOY-1
ADULT_4154	M	762	4.5	2013	4-4	YOY-1
ADULT_3160	M	953	15.2	2013	4-4	YOY-1
ADULT_4162	F	1029	11.3	2014	4-1	YOY-2
ADULT_6080	F	939.8	10.5	2018	4-1	YOY-2
ADULT_8155	F	940	10.8	2014	4-1	YOY-2
ADULT_4154	M	762	4.5	2013	4-1	YOY-2
ADULT_3160	M	953	15.2	2013	4-1	YOY-2
ADULT_7452	F	991	11.6	2012	4-2	YOY-2
ADULT_4148	F	889	7.5	2015	4-2	YOY-2
ADULT_7930	F	940	10.9	2012	4-2	YOY-2
ADULT_4136	M	864	6.8	2013	4-2	YOY-2
ADULT_5081	M	889	7.8	2018	4-2	YOY-2
ADULT_9436	F	978	15.2	2012	4-3	YOY-2
ADULT_4114	F	800	5.9	2017	4-3	YOY-2
ADULT_4147	F	762	4.9	2013	4-3	YOY-2
ADULT_4134	M	711	3.6	2013	4-3	YOY-2
ADULT_8311	M	711	4.4	2018	4-3	YOY-2
ADULT_777	F	914	11.6	2011	4-4	YOY-2
ADULT_4099	M	914	8.1	2015	4-4	YOY-2
ADULT_5123	F	889	8.1	2013	4-4	YOY-2
ADULT_4098	M	876	6.3	2014	4-4	YOY-2
ADULT_7514	M	965	8.5	2018	4-4	YOY-2
ADULT_4162	F	1029	11.3	2014	4-1	YOY-3
ADULT_6080	F	939.8	10.5	2018	4-1	YOY-3
ADULT_8155	F	940	10.8	2014	4-1	YOY-3
ADULT_4154	M	762	4.5	2013	4-1	YOY-3
ADULT_3160	M	953	15.2	2013	4-1	YOY-3
ADULT_7452	F	991	11.6	2012	4-2	YOY-3
ADULT_4148	F	889	7.5	2015	4-2	YOY-3
ADULT_7930	F	940	10.9	2012	4-2	YOY-3
ADULT_4136	M	864	6.8	2013	4-2	YOY-3
ADULT_5081	M	889	7.8	2018	4-2	YOY-3
ADULT_9436	F	978	15.2	2012	4-3	YOY-3
ADULT_4114	F	800	5.9	2017	4-3	YOY-3
ADULT_4147	F	762	4.9	2013	4-3	YOY-3
ADULT_4134	M	711	3.6	2013	4-3	YOY-3
ADULT_8311	M	711	4.4	2018	4-3	YOY-3
