SAMPLE_ID	GRP	SAMPLE_POINT
ADULT_3160	ADULT	NA
ADULT_4098	ADULT	NA
ADULT_4099	ADULT	NA
ADULT_4114	ADULT	NA
YOY1_T1-001	YOY-1	T1
YOY1_T1-002	YOY-1	T1
YOY1_T1-003	YOY-1	T1
YOY1_T1-004	YOY-1	T1
YOY1_T1-005	YOY-1	T1
YOY1_T1-006	YOY-1	T1
YOY1_T1-007	YOY-1	T1
YOY1_T1-010	YOY-1	T1
YOY1_T1-011	YOY-1	T1
YOY1_T1-012	YOY-1	T1
YOY1_T1-013	YOY-1	T1
YOY1_T1-014	YOY-1	T1
YOY1_T1-016	YOY-1	T1
YOY1_T1-017	YOY-1	T1
YOY1_T1-018	YOY-1	T1
YOY1_T1-019	YOY-1	T1
YOY1_T1-021	YOY-1	T1
YOY1_T1-022	YOY-1	T1
YOY1_T1-024	YOY-1	T1
YOY1_T1-025	YOY-1	T1
YOY1_T2-011	YOY-1	T2
YOY1_T2-012	YOY-1	T2
YOY1_T2-013	YOY-1	T2
YOY1_T2-014	YOY-1	T2
YOY1_T3-001	YOY-1	T3
YOY1_T3-002	YOY-1	T3
YOY1_T3-003	YOY-1	T3
YOY1_T3-006	YOY-1	T3
YOY1_T3-008	YOY-1	T3
YOY1_T3-012	YOY-1	T3
YOY1_T3-014	YOY-1	T3
YOY1_T1-026	YOY-1	T1
YOY1_T1-027	YOY-1	T1
YOY1_T1-029	YOY-1	T1
YOY1_T1-031	YOY-1	T1
YOY1_T1-033	YOY-1	T1
YOY1_T1-034	YOY-1	T1
YOY1_T1-036	YOY-1	T1
YOY1_T1-037	YOY-1	T1
YOY1_T1-038	YOY-1	T1
YOY1_T1-039	YOY-1	T1
YOY1_T1-040	YOY-1	T1
YOY1_T1-042	YOY-1	T1
YOY1_T1-043	YOY-1	T1
YOY1_T1-044	YOY-1	T1
ADULT_4147	ADULT	NA
ADULT_4148	ADULT	NA
ADULT_4154	ADULT	NA
YOY1_T1-045	YOY-1	T1
YOY1_T1-046	YOY-1	T1
YOY1_T1-047	YOY-1	T1
YOY1_T1-050	YOY-1	T1
YOY1_T1-051	YOY-1	T1
YOY1_T1-052	YOY-1	T1
YOY1_T2-019	YOY-1	T2
YOY1_T2-020	YOY-1	T2
YOY1_T2-022	YOY-1	T2
YOY1_T2-024	YOY-1	T2
YOY1_T2-025	YOY-1	T2
YOY1_T2-026	YOY-1	T2
YOY1_T2-029	YOY-1	T2
YOY1_T2-030	YOY-1	T2
YOY1_T2-031	YOY-1	T2
YOY1_T2-032	YOY-1	T2
YOY1_T2-033	YOY-1	T2
YOY1_T2-036	YOY-1	T2
YOY1_T2-037	YOY-1	T2
YOY1_T2-039	YOY-1	T2
YOY1_T2-040	YOY-1	T2
YOY1_T2-042	YOY-1	T2
YOY1_T2-043	YOY-1	T2
YOY1_T2-044	YOY-1	T2
YOY1_T2-045	YOY-1	T2
YOY1_T2-046	YOY-1	T2
YOY1_T3-015	YOY-1	T3
YOY1_T3-016	YOY-1	T3
YOY1_T3-017	YOY-1	T3
YOY1_T3-018	YOY-1	T3
YOY1_T3-021	YOY-1	T3
YOY1_T3-022	YOY-1	T3
YOY1_T3-023	YOY-1	T3
YOY1_T3-024	YOY-1	T3
YOY1_T3-025	YOY-1	T3
YOY1_T3-027	YOY-1	T3
YOY1_T3-028	YOY-1	T3
YOY1_T3-029	YOY-1	T3
YOY1_T3-030	YOY-1	T3
YOY1_T3-031	YOY-1	T3
YOY1_T3-032	YOY-1	T3
YOY1_T3-033	YOY-1	T3
YOY1_T3-034	YOY-1	T3
YOY1_T3-036	YOY-1	T3
YOY1_T3-037	YOY-1	T3
YOY1_T3-038	YOY-1	T3
YOY1_T3-039	YOY-1	T3
YOY1_T3-040	YOY-1	T3
YOY1_T3-041	YOY-1	T3
YOY1_T1-056	YOY-1	T1
YOY1_T1-057	YOY-1	T1
YOY1_T1-058	YOY-1	T1
YOY1_T1-059	YOY-1	T1
YOY1_T1-060	YOY-1	T1
YOY1_T1-061	YOY-1	T1
YOY1_T1-062	YOY-1	T1
YOY1_T1-063	YOY-1	T1
ADULT_4162	ADULT	NA
ADULT_4882	ADULT	NA
ADULT_5123	ADULT	NA
ADULT_5341	ADULT	NA
ADULT_7452	ADULT	NA
