SPAWNING_EVENT	DAY	DATE	TEMP_MORN	TEMP_AFTERN	TEMP_NIGHT	DO_MORN	DO_AFTERN	DO_NIGHT	SALINITY	PH	
YOY-1	1	10/10/2017	28.7	27.7	26.3	3.9	6.4	5.4	41.0	8.6	
YOY-1	2	10/11/2017	24.0	24.5	24.0	4.0	6.9	6.3	41	8.6	
YOY-1	3	10/12/2017	23.3	26.6	26.1	5.6	7.7	8.9	41	8.6	
YOY-1	4	10/13/2017	25.9	29.4	28.3	7.0	12.4	9.7	41	8.7	
YOY-1	5	10/14/2017	27.7	29.4	29.4	6.7	9.8	7.7	41	8.7	
YOY-1	6	10/15/2017	28.3	29.6	28.2	4.9	7.4	6.8	41	8.7	
YOY-1	7	10/16/2017	24.6	24.5	24.0	5.7	8.8	9.2	41	8.7	
YOY-1	8	10/17/2017	22.4	24.1	24.4	7.1	10.7	11.3	42	8.8	
YOY-1	9	10/18/2017	22.9	23.9	24.7	9.2	12.4	1.1	42	8.9	
YOY-1	10	10/19/2017	24.1	25.3	25.2	8.4	9.5	9.1	42	8.8	
YOY-1	11	10/20/2017	24.7	25.5	28.9	5.9	9.7	9.4	42	8.9	
YOY-1	12	10/21/2017	26.0	28.6	28.9	5.6	8.6	8.8	42	9.0	
YOY-1	13	10/22/2017	27.3	28.7	28.5	4.3	8.8	8.0	42	8.9	
YOY-1	14	10/23/2017	25.8	27.0	26.2	4.4	8.5	8.3	42	8.9	
YOY-1	15	10/24/2017	24.6	24.2	23.7	4.4	8.0	9.3	41.0	8.7	
YOY-1	16	10/25/2017		22.9	22.8	4.8	7.3	7.7	42	8.8	
YOY-1	17	10/26/2017	20.5	22.9	22.8	4.5	8.3	7.7	42	8.8	
YOY-1	18	10/27/2017	21.8	22.6	21.4	4.8	6.7	7.0	42	8.8	
YOY-1	19	10/28/2017	16.7	17.6	17.8	4.2	8.2	8.6	42	8.8	
YOY-1	20	10/29/2017	15.9	17.7	17.9	6.6	7.8	7.9	43	8.6	
YOY-1	21	10/30/2017	16.8	20.1	20.8	7.0	7.9	8.9	44	9.0	
YOY-1	22	10/31/2017	20.3	23.3	23.2	5.5	8.0	7.1	44	9.0	
YOY-1	23	11/1/2017	22.6	25.3	23.9	4.3	8.4	9.2	44	8.6	
YOY-1	24	11/2/2017	23.9	26.4	26.2	4.7	6.7	5.5	44	8.6	
YOY-1	25	11/3/2017	25.6	27.6	27.0	3.3	4.8	4.0	44	8.5	
YOY-1	26	11/4/2017	25.8	27.7	27.0	3.6	7.0	5.9	44	8.5	
YOY-1	27	11/5/2017	25.7	27.7	27.0	4.5	10.0	8.0	44	8.6	
YOY-1	28	11/6/2017	25.2	27.4	26.5	4.6	9.3	6.9	45	8.6	
YOY-1	29	11/7/2017	25.3	27.6	26.9	4.5	7.9	5.7	45	8.5	
YOY-1	30	11/8/2017	25.4	22.8	21.3	4.1	5.3	5.7	45	8.5	
YOY-1	31	11/9/2017	19.0	18.2	18.0	5.3	7.0	6.8	45	8.4	
YOY-1	32	11/10/2017	17.2	18.7	18.9	6.2	8.6	7.3	45	8.4	
YOY-1	33	11/11/2017	19.0	21.4	21.6	6.0	8.5	7.1	45	8.4	
YOY-1	34	11/12/2017	21.5	23.4	23.4	5.3	7.7	6.7	45	8.4	
YOY-1	35	11/13/2017	23.0	24.9	24.4	5.1	9.9	7.4	45	8.4	
YOY-1	36	11/14/2017	22.9	26.9	23.4	5.0	10.6	4.7	45	8.5	
