SPAWNING_EVENT	DAY	DATE	TEMP_MORN	TEMP_AFTERN	TEMP_EVEN	DO_MORN	DO_AFTERN	DO_EVEN	SALINITY	PH
YOY-2	1	9/22/2018	29.8	30.4	30.0	4.7	8.3	7.8	25	8.8
YOY-2	2	9/23/2018	29.2	30.5	30.0	6.3	7.6	6.7	25	8.8
YOY-2	3	9/24/2018	29.6	31.4	31.2	6.2	6.8	7.4	25	8.8
YOY-2	4	9/25/2018	29.0	31.3	31.4	5.8	6.0	6.1	25	8.6
YOY-2	5	9/26/2018	29.4	31.3	31.2	4.8	5.0	4.9	25	8.5
YOY-2	6	9/27/2018	30.1	28.9	29.1	3.5	5.4	6.3	24	8.4
YOY-2	7	9/28/2018	28.4	29.6	29.7	4.7	7.6	6.7	24	8.5
YOY-2	8	9/29/2018	27.2	28.7	28.7	5.7	6.6	7.8	23	8.5
YOY-2	9	9/30/2018	27.2	28.7	28.7	5.7	6.6	7.8	23	8.5
YOY-2	10	10/1/2018	27.8	29.1	29.2	6.1	7.7	8.0	23	8.5
YOY-2	11	10/2/2018	28.3	30.6	30.5	6.1	8.7	8.7	23	8.6
YOY-2	12	10/3/2018	29.0	31.2	30.6	5.8	8.4	8.4	23	8.6
YOY-2	13	10/4/2018	29.1	30.7	30.6	5.0	7.7	7.7	23	8.7
YOY-2	14	10/5/2018	29.2	31.2	30.7	5.4	8.0	8.6	23	8.7
YOY-2	15	10/6/2018	29.0	30.6	30.3	5.0	8.6	7.9	23	8.7
YOY-2	16	10/7/2018	28.7	29.8	29.5	4.7	8.2	8.2	24	8.7
YOY-2	17	10/8/2018	27.9	29.5	28.9	4.6	8.6	7.7	24	8.8
YOY-2	18	10/9/2018	27.9	29.8	29.2	4.6	8.2	7.0	23	8.7
YOY-2	19	10/10/2018	28.8	30.1	29.3	4.6	7.2	6.0	23	8.6
YOY-2	20	10/11/2018	28.2	28.9	28.4	4.6	8.0	7.4	23	8.6
YOY-2	21	10/12/2018	26.6	28.1	27.5	5.3	8.5	6.1	23	8.6
YOY-2	22	10/13/2018	27.2	27.7	24.0	5.3	8.3	7.6	24	8.6
YOY-2	23	10/14/2018	27.9	27.0	24.6	4.6	7.7	8.2	24	8.6
YOY-2	24	10/15/2018	28.3	26.8	24.7	4.8	6.6	6.7	24	8.5
YOY-2	25	10/16/2018	21.4	20.0	19.6	5.2	7.1	7.4	24	8.3
YOY-2	26	10/17/2018	18.3	18.4	18.5	7.2	9.6	9.6	24	8.4
YOY-2	27	10/18/2018	18.0	18.1	18.2	7.5	9.4	9.1	24	8.3
YOY-2	28	10/19/2018	18.4	19.4	19.7	7.7	10.3	10.6	24	8.4
YOY-2	29	10/20/2018	20.7	21.5	21.6	7.5	10.5	10.4	24	8.5
YOY-2	30	10/21/2018	20.9	21.0	20.8	7.2	10.5	11.1	24	8.6
YOY-2	31	10/22/2018	20.0	20.2	20.0	6.9	8.9	8.5	24	8.7
YOY-2	32	10/23/2018	19.0	18.6	18.4	7.9	9.4	9.1	24	8.6
YOY-2	33	10/24/2018	18.2	19.0	19.2	7.3	8.7	8.3	24	8.5
YOY-2	34	10/25/2018	19.0	19.7	19.6	6.9	9.3	8.8	24	8.4
YOY-2	35	10/26/2018	19.1	21.6	21.5	7.4	9.2	8.7	24	8.5
YOY-2	36	10/27/2018	20.6	22.8	23.0	7.1	9.2	8.1	24	8.5
YOY-2	37	10/28/2018	22.0	24.2	24.1	6.8	9.0	8.8	24	8.5
YOY-2	38	10/29/2018	23.4	25.2	25.5	5.9	8.0	7.7	24	8.3
YOY-2	39	10/30/2018	24.1	25.9	26.0	5.4	7.8	8.0	24	8.3
YOY-2	40	10/31/2018	25.1	26.4	26.8	4.9	7.9	7.8	24	8.3
YOY-2	41	11/1/2018	24.7	24.5	24.4	4.8	7.9	9.0	24	8.3
YOY-2	42	11/2/2018	22.1	23.3	23.4	5.9	7.4	8.5	24	8.2
YOY-2	43	11/3/2018	21.3	22.7	22.8	5.7	8.0	8.3	25	8.4
YOY-2	44	11/4/2018	22.4	23.4	23.2	5.6	7.8	8.6	25	8.4
YOY-2	45	11/5/2018	22.9	26.0	25.7	5.4	8.8	7.5	25	8.4
YOY-2	46	11/6/2018	24.9	28.4	27.6	4.8	9.0	6.6	25	8.3
YOY-2	47	11/7/2018	26.1	29.4	27.3	3.9	8.9	6.0	25	8.6
