SPAWNING_EVENT	DAY	DATE	TEMP_MORN	TEMP_AFTERN	TEMP_EVEN	DO_MORN	DO_AFTERN	DO_NIGHT	SALINITY	PH
YOY-3	1	9/28	28.0	29.2	29.1	7.0	8.6	7.8	28	8.9
YOY-3	2	9/29	28.0	29.5	29.6	5.5	6.0	6.9	28	8.3
YOY-3	3	9/30	27.4	28.4	28.4	5.5	6.5	8.0	26	8.5
YOY-3	4	10/1	27.4	28.8	28.9	5.9	7.6	8.5	26	8.6
YOY-3	5	10/2	28.2	30.5	30.4	6.1	8.7	8.6	26	8.6
YOY-3	6	10/3	28.9	31.1	30.6	5.2	8.1	8.3	26	8.5
YOY-3	7	10/4	29.0	30.9	30.5	5.4	7.0	7.1	26	8.6
YOY-3	8	10/5	29.1	31.0	30.7	5.4	7.9	8.0	27	8.6
YOY-3	9	10/6	29.1	30.7	30.3	5.1	7.7	7.6	27	8.6
YOY-3	10	10/7	28.5	29.9	29.4	4.6	7.8	7.5	27	8.6
YOY-3	11	10/8	27.7	29.4	28.7	4.3	8.3	7.2	27	8.6
YOY-3	12	10/9	27.7	29.8	29.3	4.4	9.2	8.0	27	8.6
YOY-3	13	10/10	28.7	30.0	29.4	4.5	8.1	6.5	27	8.6
YOY-3	14	10/11	27.9	28.7	28.3	4.6	8.4	7.0	27	8.6
YOY-3	15	10/12	26.4	28.1	27.3	5.0	8.9	6.2	27	8.5
YOY-3	16	10/13	27.1	28.8	28.9	4.8	8.5	7.1	27	8.5
YOY-3	17	10/14	27.8	9.0	29.6	4.4	8.6	9.2	27	8.5
YOY-3	18	10/15	28.1	26.3	24.4	4.8	7.1	6.8	28	8.4
YOY-3	19	10/16	19.8	19.4	18.9	4.3	7.5	7.6	28	8.3
YOY-3	20	10/17	17.7	18.0	18.2	7.4	9.6	10.1	28	8.3
YOY-3	21	10/18	17.4	17.7	17.9	6.8	9.1	9.5	28	8.3
YOY-3	22	10/19	18.1	18.9	19.3	7.3	8.9	9.2	27	8.2
YOY-3	23	10/20	21.1	21.5	21.6	6.1	8.7	9.3	27	8.3
YOY-3	24	10/21	20.7	20.8	20.7	6.4	9.2	9.5	27	8.3
YOY-3	25	10/22	19.6	19.9	19.7	6.2	8.5	7.7	28	8.4
YOY-3	26	10/23	18.6	18.2	18.0	7.7	9.5	9.1	28	8.3
YOY-3	27	10/24	17.9	18.7	18.9	7.1	9.0	9.1	28	8.2
YOY-3	28	10/25	18.8	19.5	19.5	6.9	9.4	8.7	28	8.3
YOY-3	29	10/26	18.9	20.4	21.9	6.9	10.4	9.2	28	8.3
YOY-3	30	10/27	20.4	22.8	23.0	7.4	10.1	8.9	28	8.4
YOY-3	31	10/28	21.8	24.0	24.1	6.7	9.3	8.9	28	8.4
YOY-3	32	10/29	23.3	25.5	25.5	3.7	9.0	8.8	28	8.4
YOY-3	33	10/30	24.1	26.1	26.1	5.2	8.9	9.1	28	8.5
YOY-3	34	10/31	25.1	26.6	26.8	4.8	8.2	7.7	28	8.4
YOY-3	35	11/1	24.5	24.4	24.1	4.6	8.2	9.2	28	8.3
YOY-3	36	11/2	22.1	23.2	23.3	5.6	7.7	9.0	28	8.3
YOY-3	37	11/3	21.4	22.6	22.7	5.8	8.4	8.4	28	8.4
YOY-3	38	11/4	22.3	23.4	23.1	5.8	8.5	8.5	28	8.3
YOY-3	39	11/5	22.8	25.8	25.5	5.3	9.4	7.8	28	8.4
YOY-3	40	11/6	24.9	27.4	27.0	4.8	9.5	8.0	28	8.3
YOY-3	41	11/7	26.1	28.2	27.6	5.1	8.9	6.9	28	8.4
YOY-3	42	11/8	26.6	28.5	27.7	4.1	6.2	7.6	29	8.5
YOY-3	43	11/9	26.3	22.6	20.7	4.9	6.7	7.0	28	7.8
YOY-3	44	11/10	17.8	17.8	17.3	6.4	9.2	8.8	28	8.1
YOY-3	45	11/11	16.2	16.9	17.0	7.0	8.5	7.8	28	8.0
YOY-3	46	11/12	16.9	16.6	16.4	6.8	8.2	7.4	28	8.0
YOY-3	47	11/13	12.2	12.0	11.5	7.9	10.0	8.2	28	8.2
YOY-3	48	11/14	9.3	12.0	10.5	9.9	10.8	10.5	28	8.3
YOY-3	49	11/15	10.5	12.7	12.5	10.3	11.0	9.1	28	8.3
YOY-3	50	11/16	12.1	14.6	13.9	10.1	10.5	8.5	28	8.3
YOY-3	51	11/17	14.2	15.8	15.5	9.5	10.4	9.7	28	8.3
YOY-3	52	11/18	16.2	16.7	16.7	7.2	7.4	7.1	28	8.3
YOY-3	53	11/19	16.9	15.2	15.0	4.9	9.2	8.7	27	8.1
YOY-3	54	11/20	13.9	14.7	14.4	8.6	10.1	9.4	27	8.3
YOY-3	55	11/21	14.1	14.6	14.9	8.0	10.0	9.6	27	8.3
YOY-3	56	11/22	13.8	14.2	14.2	7.9	9.8	9.2	27	8.3
YOY-3	57	11/23	14.3	15.0	16.6	7.8	9.6	9.3	27	8.3
YOY-3	58	11/24	15.9	16.7	17.0	7.2	9.0	9.3	27	8.3
YOY-3	59	11/25	17.6	18.1	18.9	7.0	8.1	8.3	27	8.3
YOY-3	60	11/26	14.9	16.3	15.8	8.7	8.4	8.3	28	8.4
YOY-3	61	11/27	14.1	16.3	15.8	7.7	9.7	7.4	28	8.6
YOY-3	62	11/28	15.2	16.4	16.6	7.3	9.7	8.7	28	8.5
YOY-3	63	11/29	16.8	20.0	17.4	6.0	9.6	9.3	28	8.5
